TweetText,SentBy,SenderLocation,SendDate
Dayum Would love to try yours maye,idiot_salad,Communist Occupied USA,12/10/20 3:11
9 december cw 160 5 was doing well breakfast lunch dinner pasta w meat caprese salad 2 mangoes amp,skinnywyrms,cw 160.5 🌱 ugw 95 ,12/10/20 3:11
RT gather up all of dabis skin flakes call that shit a salad,SFTG162,,12/10/20 3:11
This world is potato salad You just gotta relish in it,MYtweetsR2dope,,12/10/20 3:11
MBBall Let the record show Xavier football has more salad bowl championships than Oklahoma,cursedcincyfan,"Cincinnati, OH",12/10/20 3:11
Salad w chicken,javitheg,,12/10/20 3:11
RT Takeaway your salad hates you and wants you dead,CliffBarackman,"Clackamas County, OR",12/10/20 3:11
RT aoba johsai volleyball club that is a FRUIT SALAD,oikawabratz,they/xe,12/10/20 3:11
See if I was your man this how your Caesar salad would ve been SEXYMAINTENANCEMAN BEARDLIFE,TheWederath,,12/10/20 3:10
Fatty needs a salad Gimme B,spaghettidpants,,12/10/20 3:10
I ll have to assume the rest of you sickos like these salad ball s,thumbhook,"it’s cold and dark, I’m scared",12/10/20 3:10
Wow this could be adapted for a grinchy use,TKCpodcast,"Salem, OR",12/10/20 3:10
This old raggedy white man got mad that my horse beat his in a race and he called my silver dapple pinto Missouri f,namoonchile,United States,12/10/20 3:10
RT 3 years ago today when this rare moment of wheein wanted to kiss hyejin out of nowhere in front of everyone s salad,moonbyulscap,she ¡ her,12/10/20 3:10
I don t want this around Valter has major not in front of my salad vibes RHOSLC,gdoakley5,"Orlando, FL",12/10/20 3:10
Jerk BBQ wing meal x Guyanese Fried Rice amp a side salad,rudegalb,,12/10/20 3:10
I don t know if you re a salad guy but if you are order a side salad with two chicken strips and a,CadeWhitman,,12/10/20 3:09
December 9th 2020 Breakfast Ambrosia Apple 80 Karma BL 20 Lunch Salad 156 Dinner PopSecret Popcorn 90 348,phantomvertigo,,12/10/20 3:09
ir0ngruve I maintain that cooking on the grill has its place but the skillet creates t,deis_david721,,12/10/20 3:09
Tragedy when you think your partner is holding a cake but they are actually holding a salad,mpdalberg,"Chicago, IL",12/10/20 3:09
max p0wer I mean feta from trash US salad bars sure A massive hunk of homemade feta broken over a salad on the,RedBeardLiberty,Pfalz,12/10/20 3:09
Dis nigga Justin ordered a salad from Wendy s off doordash,PaperstacksTrip,,12/10/20 3:09
RT p 2 Also at fried crispy chicken salad over gem lettuces French breakfast radishes avocado pistachio,EatingBeagles,Coconut Grove,12/10/20 3:09
No worries I got a yuuuge arsenal Molon Labe bitches,idiot_salad,Communist Occupied USA,12/10/20 3:09
a fried chicken salad w extra chicken w 3 honey mustards to be exact,MSUCMEE_,,12/10/20 3:09
I miss Olive oil for shirazi salad That s basically it,MythicalChef,"Los Angeles, CA",12/10/20 3:09
fruit salad yummy yummy,catboybvcky,19 • film student • white,12/10/20 3:09
RT hot take potato salad is a good song,blghbuco,,12/10/20 3:08
Serving beet salad chicken a la orange turnip greens duck fat potatoes napoleons for dessert,melsos,,12/10/20 3:08
TAKE THE POTATO SALAD JUST TAKE IT JUST TAKE IT,RitzInFlames,in yo ♡,12/10/20 3:08
MBBall Not sure we ve ever won the salad bowl but we ve got 7 natties BoomerSooner,jharmon67,"Dallas, TX",12/10/20 3:08
Made prosciutto wrapped stuffed chicken breast with mashed potatoes and a lemony salad for our 7yr a,Buttskis,,12/10/20 3:08
RT Set 4 Living Quarters Holiday Mountain Lodge Coupe Salad Plates Orig box cabin via cabin cab,texastwins2004,"Texas, USA",12/10/20 3:08
fruit salad is overrated coleslaw is where it s at,PigletsBussy,,12/10/20 3:08
Think I ll make me a chicken salad,__ShaeBaeee,,12/10/20 3:08
Second verse same as the first Tonight s dinner is a repeat on the salad but I went to the store today and was a,PassionateFriar,Unceded Anishinabek territory,12/10/20 3:08
Anything can technically be part of a complete breakfast If you ingest it alongside oatmeal yogurt granola fru,jackson271984,,12/10/20 3:08
That salad looks fantastic,darrenmak,"Winnipeg, MB",12/10/20 3:08
A little something that I call art A thread 1 Buffalo wing meal w a side salad x Mac amp cheese cup,rudegalb,,12/10/20 3:08
RT 3 years ago today when this rare moment of wheein wanted to kiss hyejin out of nowhere in front of everyone s salad,sm2hm3,Here Today,12/10/20 3:08
Meanwhile at Breezie Point zzz Passed out on the sofa from tired Not before she prepped,mlp_AuBreeze,Ponyville,12/10/20 3:08
RT 3 years ago today when this rare moment of wheein wanted to kiss hyejin out of nowhere in front of everyone s salad,babiehyegi,,12/10/20 3:08
Today was my off day so I got a pass but I ll fast all morning until about 3p eat a salad a fresh sub or somet,Alemap____,The 6 w Some Players from Ohio,12/10/20 3:07
RT 3 years ago today when this rare moment of wheein wanted to kiss hyejin out of nowhere in front of everyone s salad,CamEElodrama,Buenos Aires.,12/10/20 3:07
RT when i m at a trader joe s anywhere not in LA and see the Pasadena salad,aalexfrmdaset,"Pasadena, CA",12/10/20 3:07
RT I m wanting a salad,_Samariaaaaaaa,"Denton, TX",12/10/20 3:07
alsehli Fine I d prefer that Immigrants had skills and can contribute to Canada But i love that we re more,Mikaela58094269,Turannah,12/10/20 3:07
RT BREAKING Nikki V will reprise her role as Salad Woman in Spider Man 3,charlezard_69,"Atlanta, GA",12/10/20 3:07
RT Our ship is fully stocked with pineapple There s nothing wrong with pineapple it s just ALL we have Grilled pineapple amp,PattyShakes_,"Lakeland, FL",12/10/20 3:07
fries I m guessing you got the Lasagna Salad and Cookies I left you,chef4funlisa,"Salt Lake City, UT",12/10/20 3:06
Never followed those weasels I sold my soul to psychedelic trance Bom bolenat,idiot_salad,Communist Occupied USA,12/10/20 3:06
You know the love is real when you impress him with salad,BuhtPrincess3,Indiana,12/10/20 3:06
YAMAMAN presents MUSIC SALAD from U kari Studio bayfm78 2020 12 10 12 00 13 00 radiko,RADIO_NOW_ONAIR,蕎麦県ローメン市ソースかつ丼区,12/10/20 3:06
They serving COVID salad,ilio808,"Hawaii, USA",12/10/20 3:06
Don t waste your stomach space on the cheesy bread or the salad bar I have a couple,AggieKimD,,12/10/20 3:06
RT Niggas be posting hella syrup and weed like do you drink water ever Eat a salad or something,manbundude,Bay Area,12/10/20 3:06
I can do bananas to an extent I can t eat them really ripe Plantains and green banana are a no Made gr,vlmfantasies,,12/10/20 3:06
Could do worse Could have a salad with too Boom nutritious meal,ElwinRansom,Perelandra,12/10/20 3:06
7777 Nothing she is saying is even remotely coherent Just word salad,electri56500175,,12/10/20 3:05
trads don t even realize word salad very compelling drayer,CartMeOrin,,12/10/20 3:05
Give them all a side of Covid with their chicken salad,SPOtonMendo,,12/10/20 3:05
The salad is getting cold DrambuieRevue,MrGCampbell,Vancouver,12/10/20 3:05
There s Hell and then there s trying to get 5 old people on a FaceTime call,eggy_salad,,12/10/20 3:05
Monicals is a pizza chain in IL amp IN maybe elsewhere these days We use it on salad but most dip their pizza in it,JenSchweigert,c. Illinois ,12/10/20 3:05
